SMILES,Y
CC(=O)Oc1ccccc1C(=O)O,-1.72
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.3
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.15
CN(C)C,1.32
O=c1cc[nH]c(=O)[nH]1,-1.49
Oc1ccccc1,0
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,-3.85
Cc1ccccc1,-2.21
CC[N+](=O)[O-],-0.22
CCCO,0.62
CSC,-0.45
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.16
CC(N)=O,1.58
CCN,2.06
Nc1nc2[nH]cnc2c(=O)[nH]1,-3.58
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,-2.25
O=[N+]([O-])c1ccccc1,-1.8
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.78
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07
CC(Cl)(Cl)Cl,-2
C1CCOC1,0.49
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-4.82
CC(=O)Nc1ccccc1,-1.33
c1ccc2[nH]ccc2c1,-1.21
CCCCl,-1.47
CC(N)C(=O)O,0.25
CC(=O)Nc1ccc(Cl)cc1,-2.84
CCCC(=O)OC,-0.82
CCC#N,0.28
COC(C)=O,0.46
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,-4.02
Cc1cc(C)c2c(n1)N(C1CC1)c1ncccc1C(=O)N2,-4.27
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,-4.6
CC(C)(C)c1ccc(O)cc1,-2.41
C#CCCC,-1.64
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,-1.52
c1ccc2c(c1)oc1ccccc12,-4.6
Clc1ccccc1,-2.38
Cc1ccc(S(N)(=O)=O)cc1,-1.74
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.2
c1ccc(-c2ccccc2)cc1,-4.35
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.42
C=C(C)[C@H]1CC=C(C)CC1,-4
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.59
ClC=C(Cl)Cl,-1.96
